image,coder,noise_kind,std,variance,pcc,cr,log_cr,psnr,haar_psi
fr02.bmp,JPEG,gaussian,0,0,24.0,10.919936682496042,1.0382201201890207,28.207902795442244,0.8568227291107178
fr02.bmp,JPEG,gaussian,0,0,25.0,10.643712696414795,1.0270931432144061,28.313724610656532,0.8618075251579285
fr02.bmp,JPEG,gaussian,0,0,26.0,10.368389827156587,1.0157113172881236,28.42685694785571,0.8660433888435364
fr02.bmp,JPEG,gaussian,0,0,27.0,10.120217735397445,1.0051898564034225,28.53363396012817,0.8714420199394226
fr02.bmp,JPEG,gaussian,0,0,28.0,9.854667117777527,0.9936419587672608,28.644249126713568,0.8776912689208984
fr02.bmp,JPEG,gaussian,0,0,29.0,9.655751593060518,0.9847860844349047,28.731501930654755,0.8799718618392944
fr02.bmp,JPEG,gaussian,0,0,30.0,9.433372917341394,0.9746670031806212,28.838517831917102,0.8845297694206238
fr02.bmp,JPEG,gaussian,0,0,31.0,9.239531932891584,0.9656499707751682,28.92788585437801,0.8881381750106812
fr02.bmp,JPEG,gaussian,0,0,32.0,9.04506245255676,0.9564115698367552,29.026097797051122,0.8902488946914673
fr02.bmp,JPEG,gaussian,0,0,33.0,8.84993754430978,0.9469402058099908,29.128845210399884,0.8948903679847717
fr02.bmp,JPEG,gaussian,0,0,34.0,8.733475479744136,0.9411871052526911,29.202198058005745,0.8967705368995667
fr02.bmp,JPEG,gaussian,0,0,35.0,8.5250081300813,0.9306948018402259,29.306141088612392,0.8998336791992188
fr02.bmp,JPEG,gaussian,0,0,36.0,8.361049979268332,0.9222608194927169,29.405109764366273,0.9030647277832031
fr02.bmp,JPEG,gaussian,0,0,37.0,8.28259083728278,0.9181662075982876,29.462782842226105,0.9043753147125244
fr02.bmp,JPEG,gaussian,0,0,38.0,8.088617359375482,0.9078742911410513,29.567416873009357,0.9093977212905884
fr02.bmp,JPEG,gaussian,0,0,39.0,7.972022017455828,0.9015684894823345,29.63921195196371,0.9111902117729187
fr02.bmp,JPEG,gaussian,0,0,40.0,7.901377460288754,0.8977028091707927,29.69380458722871,0.9122253656387329
fr02.bmp,JPEG,gaussian,0,0,41.0,7.716245253583728,0.887406022832055,29.809519497178222,0.9160280227661133
fr02.bmp,JPEG,gaussian,0,0,42.0,7.623346031930671,0.8821456333142166,29.85615413952963,0.9175909757614136
fr02.bmp,JPEG,gaussian,0,0,43.0,7.528114410430188,0.8766862107700147,29.93615678134568,0.9194120168685913
fr02.bmp,JPEG,gaussian,0,0,44.0,7.38517016001803,0.8683605062431631,30.02906175009378,0.9216873049736023
fr02.bmp,JPEG,gaussian,0,0,45.0,7.288458865070759,0.8626357070350358,30.086413378842597,0.9241636395454407
fr02.bmp,JPEG,gaussian,0,0,46.0,7.161426034694713,0.8549995107622125,30.181196588793085,0.9267628192901611
fr02.bmp,JPEG,gaussian,0,0,47.0,7.096865017055607,0.8510665449914065,30.24575777022294,0.9282512068748474
fr02.bmp,JPEG,gaussian,0,0,48.0,7.002270481074873,0.8452388825172006,30.297320280027535,0.9295912384986877
fr02.bmp,JPEG,gaussian,0,0,49.0,6.8705019001441485,0.8369884640611914,30.381899485697282,0.9323360919952393
fr02.bmp,JPEG,gaussian,0,0,50.0,6.83645846916156,0.834831179846011,30.43474120887174,0.9326193928718567
fr02.bmp,JPEG,gaussian,0,0,51.0,6.801868188894655,0.8326282116322273,30.489514056998637,0.9329667091369629
fr02.bmp,JPEG,gaussian,0,0,52.0,6.664734446902092,0.8237828498425048,30.57636752397562,0.9352032542228699
fr02.bmp,JPEG,gaussian,0,0,53.0,6.567556056620318,0.8174037883445914,30.63883450914844,0.9363328814506531
fr02.bmp,JPEG,gaussian,0,0,54.0,6.499330589577032,0.8128686279930105,30.715596457635833,0.9375674724578857
fr02.bmp,JPEG,gaussian,0,0,55.0,6.424153310787629,0.8078158967218381,30.796220645180554,0.938967227935791
fr02.bmp,JPEG,gaussian,0,0,56.0,6.3199209238409795,0.8007116443339102,30.884252408964596,0.9408474564552307
fr02.bmp,JPEG,gaussian,0,0,57.0,6.218426795711168,0.7936805261120111,30.968115163350323,0.9423702955245972
fr02.bmp,JPEG,gaussian,0,0,58.0,6.109585848462955,0.7860117716462696,31.05755640918869,0.9446511268615723
fr02.bmp,JPEG,gaussian,0,0,59.0,6.04255122974437,0.7812203411154305,31.136618208033006,0.9459584951400757
fr02.bmp,JPEG,gaussian,0,0,60.0,5.963917643044022,0.7755316375612245,31.229440952804993,0.9473915100097656
fr02.bmp,JPEG,gaussian,0,0,61.0,5.8441234171571255,0.7667193788612234,31.330163893429557,0.9492778778076172
fr02.bmp,JPEG,gaussian,0,0,62.0,5.76609550623584,0.7608818315117283,31.424715373473333,0.9504534006118774
fr02.bmp,JPEG,gaussian,0,0,63.0,5.655261681839755,0.7524527055213551,31.53648964052559,0.9515847563743591
fr02.bmp,JPEG,gaussian,0,0,64.0,5.586208366185778,0.7471171308989983,31.630273031207388,0.9528986811637878
fr02.bmp,JPEG,gaussian,0,0,65.0,5.469309409555602,0.7379324929598736,31.745765556476723,0.9549027681350708
fr02.bmp,JPEG,gaussian,0,0,66.0,5.392910777839495,0.7318232352311431,31.868890517493554,0.9560314416885376
fr02.bmp,JPEG,gaussian,0,0,67.0,5.3043038384492425,0.7246283931460613,31.989621230136102,0.9578891396522522
fr02.bmp,JPEG,gaussian,0,0,68.0,5.180301952414829,0.7143550748891733,32.11691769713988,0.9602132439613342
fr02.bmp,JPEG,gaussian,0,0,69.0,5.093834405300896,0.7070448224428676,32.237727309374876,0.9611332416534424
fr02.bmp,JPEG,gaussian,0,0,70.0,4.972665364114043,0.6965892343360612,32.398717284759925,0.9631311297416687
fr02.bmp,JPEG,gaussian,0,0,71.0,4.874830311483032,0.6879595028921613,32.55155668872541,0.9644925594329834
fr02.bmp,JPEG,gaussian,0,0,72.0,4.792920612864299,0.6806002356513958,32.693951360122014,0.9659532904624939
