image,coder,noise_kind,std,pcc,cr,psnr
frisco.bmp,JPEG,gaussian,10,28.0,14.468705155094382,31.62631644451715
frisco.bmp,JPEG,gaussian,10,29.0,14.031902365913714,31.58280721774133
frisco.bmp,JPEG,gaussian,10,30.0,13.600207522697795,31.532602311362055
frisco.bmp,JPEG,gaussian,10,31.0,13.200261846014401,31.520730084310614
frisco.bmp,JPEG,gaussian,10,32.0,12.776293985768593,31.451700784592383
frisco.bmp,JPEG,gaussian,10,33.0,12.360035833844123,31.425804907399318
frisco.bmp,JPEG,gaussian,10,34.0,12.118903425639129,31.382947484899752
frisco.bmp,JPEG,gaussian,10,35.0,11.733237847999284,31.375699562849306
frisco.bmp,JPEG,gaussian,10,36.0,11.40649203724654,31.34312429883076
frisco.bmp,JPEG,gaussian,10,37.0,11.24695383559293,31.292586224827616
frisco.bmp,JPEG,gaussian,10,38.0,10.873734859797578,31.245384489448206
frisco.bmp,JPEG,gaussian,10,39.0,10.666666666666666,31.212775846154774
frisco.bmp,JPEG,gaussian,10,40.0,10.544810941271118,31.174676510047682
frisco.bmp,JPEG,gaussian,10,41.0,10.212076353720295,31.13536853801636
frisco.bmp,JPEG,gaussian,10,42.0,10.075098966140128,31.12551318995162
frisco.bmp,JPEG,gaussian,10,43.0,9.898576445266775,31.05880534314978
frisco.bmp,JPEG,gaussian,10,44.0,9.636938460407324,31.035364445129026
frisco.bmp,JPEG,gaussian,10,45.0,9.507616422457566,31.009658660368817
frisco.bmp,JPEG,gaussian,10,46.0,9.28173352689162,30.952152167909638
frisco.bmp,JPEG,gaussian,10,47.0,9.150197214562462,30.89036116196941
frisco.bmp,JPEG,gaussian,10,48.0,9.004053032905132,30.857772998914243
frisco.bmp,JPEG,gaussian,10,49.0,8.79294267601382,30.88126554329305
frisco.bmp,JPEG,gaussian,10,50.0,8.716922156086856,30.81118632164669
frisco.bmp,JPEG,gaussian,10,51.0,8.643914663501171,30.754472285580302
frisco.bmp,JPEG,gaussian,10,52.0,8.411487245307235,30.728042803394537
frisco.bmp,JPEG,gaussian,10,53.0,8.265355025854458,30.68075966946912
frisco.bmp,JPEG,gaussian,10,54.0,8.14111801242236,30.61761973675125
frisco.bmp,JPEG,gaussian,10,55.0,8.005374702253711,30.56229033349294
frisco.bmp,JPEG,gaussian,10,56.0,7.827296885730495,30.50351229185333
frisco.bmp,JPEG,gaussian,10,57.0,7.6699631341798815,30.441278202446938
frisco.bmp,JPEG,gaussian,10,58.0,7.4956108998370174,30.402317341187832
frisco.bmp,JPEG,gaussian,10,59.0,7.373744761047509,30.309016519564096
frisco.bmp,JPEG,gaussian,10,60.0,7.230162451388697,30.222504326786044
frisco.bmp,JPEG,gaussian,10,61.0,7.044609265828227,30.132956217685628
frisco.bmp,JPEG,gaussian,10,62.0,6.909982339141208,30.05285752033032
frisco.bmp,JPEG,gaussian,10,63.0,6.723020106688551,29.943421034327073
frisco.bmp,JPEG,gaussian,10,64.0,6.584216607223589,29.84119550281374
frisco.bmp,JPEG,gaussian,10,65.0,6.396096132731487,29.751489714737506
frisco.bmp,JPEG,gaussian,10,66.0,6.240929435291877,29.649795397921565
frisco.bmp,JPEG,gaussian,10,67.0,6.082791906441433,29.52951651893647
frisco.bmp,JPEG,gaussian,10,68.0,5.885189592079564,29.424768220035418
frisco.bmp,JPEG,gaussian,10,69.0,5.737196883480697,29.319003125301712
